superfamily,locus,gene model confidence,inferred-by-rule,classification
ABI3/VP1,TraesCS4D02G251500,high,t,TF
ABI3/VP1,TraesCS4D02G299700,high,t,TF
ABI3/VP1,TraesCS4D02G348900,high,t,TF
ABI3/VP1,TraesCS5A02G065000,high,t,TF
ABI3/VP1,TraesCS5A02G065100,high,t,TF
ABI3/VP1,TraesCS5A02G066600,high,t,TF
ABI3/VP1,TraesCS5A02G066700,high,t,TF
ABI3/VP1,TraesCS5A02G066800,high,t,TF
ABI3/VP1,TraesCS5A02G066900,high,t,TF
ABI3/VP1,TraesCS5A02G067000,high,t,TF
ABI3/VP1,TraesCS5A02G090100,high,t,TF
ABI3/VP1,TraesCS5A02G127100,high,t,TF
ABI3/VP1,TraesCS5A02G335800,high,t,TF
ABI3/VP1,TraesCS5A02G363700,high,t,TF
ABI3/VP1,TraesCS5A02G363800,high,t,TF
ABI3/VP1,TraesCS5A02G387400,high,t,TF
ABI3/VP1,TraesCS5A02G415500,high,t,TF
ABI3/VP1,TraesCS5A02G438500,high,t,TF
ABI3/VP1,TraesCS5A02G438600,high,t,TF
ABI3/VP1,TraesCS5A02G438700,high,t,TF
ABI3/VP1,TraesCS5A02G482700,high,t,TF
ABI3/VP1,TraesCS5A02G516600,high,t,TF
ABI3/VP1,TraesCS5A02G524700,high,t,TF
ABI3/VP1,TraesCS5B02G071900,high,t,TF
ABI3/VP1,TraesCS5B02G072600,high,t,TF
ABI3/VP1,TraesCS5B02G073300,high,t,TF
ABI3/VP1,TraesCS5B02G073400,high,t,TF
ABI3/VP1,TraesCS5B02G073500,high,t,TF
ABI3/VP1,TraesCS5B02G073600,high,t,TF
ABI3/VP1,TraesCS5B02G073700,high,t,TF
ABI3/VP1,TraesCS5B02G073800,high,t,TF
ABI3/VP1,TraesCS5B02G095900,high,t,TF
ABI3/VP1,TraesCS5B02G126200,high,t,TF
ABI3/VP1,TraesCS5B02G365800,high,t,TF
ABI3/VP1,TraesCS5B02G392500,high,t,TF
ABI3/VP1,TraesCS5B02G441400,high,t,TF
ABI3/VP1,TraesCS5B02G441500,high,t,TF
ABI3/VP1,TraesCS5B02G467600,high,t,TF
ABI3/VP1,TraesCS5B02G495900,high,t,TF
ABI3/VP1,TraesCS5B02G510500,high,t,TF
ABI3/VP1,TraesCS5B02G514600,high,t,TF
ABI3/VP1,TraesCS5B02G515000,high,t,TF
ABI3/VP1,TraesCS5D02G075900,high,t,TF
ABI3/VP1,TraesCS5D02G076700,high,t,TF
ABI3/VP1,TraesCS5D02G076800,high,t,TF
ABI3/VP1,TraesCS5D02G076900,high,t,TF
ABI3/VP1,TraesCS5D02G077700,high,t,TF
ABI3/VP1,TraesCS5D02G077800,high,t,TF
ABI3/VP1,TraesCS5D02G077900,high,t,TF
ABI3/VP1,TraesCS5D02G078100,high,t,TF
ABI3/VP1,TraesCS5D02G078200,high,t,TF
ABI3/VP1,TraesCS5D02G102200,high,t,TF
ABI3/VP1,TraesCS5D02G134700,high,t,TF
ABI3/VP1,TraesCS5D02G372900,high,t,TF
ABI3/VP1,TraesCS5D02G397300,high,t,TF
ABI3/VP1,TraesCS5D02G411500,high,t,TF
ABI3/VP1,TraesCS5D02G445800,high,t,TF
ABI3/VP1,TraesCS5D02G496300,high,t,TF
ABI3/VP1,TraesCS5D02G514900,high,t,TF
ABI3/VP1,TraesCS5D02G515000,high,t,TF
ABI3/VP1,TraesCS5D02G515100,high,t,TF
ABI3/VP1,TraesCS5D02G515200,high,t,TF
ABI3/VP1,TraesCS6A02G176600,high,t,TF
ABI3/VP1,TraesCS6A02G213000,high,t,TF
ABI3/VP1,TraesCS6A02G259600,high,t,TF
ABI3/VP1,TraesCS6A02G324600,high,t,TF
ABI3/VP1,TraesCS6A02G399800,high,t,TF
ABI3/VP1,TraesCS6B02G241100,high,t,TF
ABI3/VP1,TraesCS6B02G286900,high,t,TF
ABI3/VP1,TraesCS6B02G440000,high,t,TF
ABI3/VP1,TraesCS6D02G080700,high,t,TF
ABI3/VP1,TraesCS6D02G194700,high,t,TF
ABI3/VP1,TraesCS6D02G240600,high,t,TF
ABI3/VP1,TraesCS6D02G347900,high,t,TF
ABI3/VP1,TraesCS6D02G384000,high,t,TF
ABI3/VP1,TraesCS7A02G020700,high,t,TF
ABI3/VP1,TraesCS7A02G020800,high,t,TF
ABI3/VP1,TraesCS7A02G031000,high,t,TF
ABI3/VP1,TraesCS7A02G032400,high,t,TF
ABI3/VP1,TraesCS7A02G062700,high,t,TF
ABI3/VP1,TraesCS7A02G087900,high,t,TF
ABI3/VP1,TraesCS7A02G179800,high,t,TF
ABI3/VP1,TraesCS7A02G329600,high,t,TF
ABI3/VP1,TraesCS7A02G392500,high,t,TF
ABI3/VP1,TraesCS7A02G399500,high,t,TF
ABI3/VP1,TraesCS7A02G417300,high,t,TF
ABI3/VP1,TraesCS7A02G461000,high,t,TF
ABI3/VP1,TraesCS7A02G499500,high,t,TF
ABI3/VP1,TraesCS7B02G085000,high,t,TF
ABI3/VP1,TraesCS7B02G230100,high,t,TF
ABI3/VP1,TraesCS7B02G294500,high,t,TF
ABI3/VP1,TraesCS7B02G362500,high,t,TF
ABI3/VP1,TraesCS7B02G364000,high,t,TF
ABI3/VP1,TraesCS7B02G406400,high,t,TF
ABI3/VP1,TraesCS7B02G406500,high,t,TF
ABI3/VP1,TraesCS7D02G017000,high,t,TF
ABI3/VP1,TraesCS7D02G020700,high,t,TF
ABI3/VP1,TraesCS7D02G022400,high,t,TF
ABI3/VP1,TraesCS7D02G027300,high,t,TF
ABI3/VP1,TraesCS7D02G057400,high,t,TF
ABI3/VP1,TraesCS7D02G083000,high,t,TF
ABI3/VP1,TraesCS7D02G181300,high,t,TF
ABI3/VP1,TraesCS7D02G326300,high,t,TF
ABI3/VP1,TraesCS7D02G388100,high,t,TF
ABI3/VP1,TraesCS7D02G448900,high,t,TF
ABI3/VP1,TraesCS7D02G486300,high,t,TF
ABI3/VP1,TraesCS7D02G525400,high,t,TF
ABI3/VP1,TraesCSU01G075300,high,t,TF
ABI3/VP1,TraesCSU01G231000,high,t,TF
ABI3/VP1,TraesCSU01G254800,high,t,TF
AP2/EREBP,TraesCS1A02G263100,high,f,TF
AP2/EREBP,TraesCS1A02G434500,high,f,TF
AP2/EREBP,TraesCS1B02G281500,high,f,TF
AP2/EREBP,TraesCS5A02G386100,high,f,TF
AP2/EREBP,TraesCS5B02G310900,high,f,TF
AP2/EREBP,TraesCS5B02G311300,high,f,TF
AP2/EREBP,TraesCS5B02G391100,high,f,TF
AP2/EREBP,TraesCS5B02G486900,high,f,TF
AP2/EREBP,TraesCS5D02G317600,high,f,TF
AP2/EREBP,TraesCS6A02G256600,high,f,TF
AP2/EREBP,TraesCS7A02G293000,high,f,TF
AP2/EREBP,TraesCS7B02G324400,high,f,TF
AP2/EREBP,TraesCS7D02G481900,high,f,TF
AP2/EREBP,TraesCS1A02G058400,high,t,TF
AP2/EREBP,TraesCS1A02G141800,high,t,TF
AP2/EREBP,TraesCS1A02G187900,high,t,TF
AP2/EREBP,TraesCS1A02G218100,high,t,TF
AP2/EREBP,TraesCS1A02G220000,high,t,TF
AP2/EREBP,TraesCS1A02G221900,high,t,TF
AP2/EREBP,TraesCS1A02G223400,high,t,TF
AP2/EREBP,TraesCS1A02G231200,high,t,TF
AP2/EREBP,TraesCS1A02G242800,high,t,TF
AP2/EREBP,TraesCS1A02G244800,high,t,TF
AP2/EREBP,TraesCS1A02G272300,high,t,TF
AP2/EREBP,TraesCS1A02G314200,high,t,TF
AP2/EREBP,TraesCS1A02G314300,high,t,TF
AP2/EREBP,TraesCS1A02G328800,high,t,TF
AP2/EREBP,TraesCS1A02G357800,high,t,TF
AP2/EREBP,TraesCS1A02G370400,high,t,TF
AP2/EREBP,TraesCS1A02G370600,high,t,TF
AP2/EREBP,TraesCS1A02G370700,high,t,TF
AP2/EREBP,TraesCS1A02G372100,high,t,TF
AP2/EREBP,TraesCS1A02G372200,high,t,TF
AP2/EREBP,TraesCS1A02G372300,high,t,TF
AP2/EREBP,TraesCS1A02G399500,high,t,TF
AP2/EREBP,TraesCS1A02G411100,high,t,TF
AP2/EREBP,TraesCS1B02G076300,high,t,TF
AP2/EREBP,TraesCS1B02G158400,high,t,TF
AP2/EREBP,TraesCS1B02G195700,high,t,TF
AP2/EREBP,TraesCS1B02G231500,high,t,TF
AP2/EREBP,TraesCS1B02G233300,high,t,TF
AP2/EREBP,TraesCS1B02G235100,high,t,TF
AP2/EREBP,TraesCS1B02G236700,high,t,TF
AP2/EREBP,TraesCS1B02G243200,high,t,TF
AP2/EREBP,TraesCS1B02G254300,high,t,TF
AP2/EREBP,TraesCS1B02G256000,high,t,TF
AP2/EREBP,TraesCS1B02G282300,high,t,TF
AP2/EREBP,TraesCS1B02G307000,high,t,TF
AP2/EREBP,TraesCS1B02G326500,high,t,TF
AP2/EREBP,TraesCS1B02G326600,high,t,TF
AP2/EREBP,TraesCS1B02G335100,high,t,TF
AP2/EREBP,TraesCS1B02G342500,high,t,TF
AP2/EREBP,TraesCS1B02G389700,high,t,TF
AP2/EREBP,TraesCS1B02G389800,high,t,TF
AP2/EREBP,TraesCS1B02G389900,high,t,TF
AP2/EREBP,TraesCS1B02G392000,high,t,TF
AP2/EREBP,TraesCS1B02G392200,high,t,TF
AP2/EREBP,TraesCS1B02G392300,high,t,TF
AP2/EREBP,TraesCS1B02G427500,high,t,TF
AP2/EREBP,TraesCS1B02G427600,high,t,TF
AP2/EREBP,TraesCS1B02G441300,high,t,TF
AP2/EREBP,TraesCS1D02G059200,high,t,TF
AP2/EREBP,TraesCS1D02G140900,high,t,TF
AP2/EREBP,TraesCS1D02G188700,high,t,TF
AP2/EREBP,TraesCS1D02G221500,high,t,TF
AP2/EREBP,TraesCS1D02G223600,high,t,TF
AP2/EREBP,TraesCS1D02G225000,high,t,TF
AP2/EREBP,TraesCS1D02G230900,high,t,TF
AP2/EREBP,TraesCS1D02G242800,high,t,TF
AP2/EREBP,TraesCS1D02G244500,high,t,TF
AP2/EREBP,TraesCS1D02G272600,high,t,TF
AP2/EREBP,TraesCS1D02G314700,high,t,TF
AP2/EREBP,TraesCS1D02G314800,high,t,TF
AP2/EREBP,TraesCS1D02G331100,high,t,TF
AP2/EREBP,TraesCS1D02G331200,high,t,TF
AP2/EREBP,TraesCS1D02G362500,high,t,TF
AP2/EREBP,TraesCS1D02G376500,high,t,TF
AP2/EREBP,TraesCS1D02G376600,high,t,TF
AP2/EREBP,TraesCS1D02G376700,high,t,TF
AP2/EREBP,TraesCS1D02G376800,high,t,TF
AP2/EREBP,TraesCS1D02G378400,high,t,TF
AP2/EREBP,TraesCS1D02G378500,high,t,TF
AP2/EREBP,TraesCS1D02G378800,high,t,TF
AP2/EREBP,TraesCS1D02G378900,high,t,TF
AP2/EREBP,TraesCS1D02G407000,high,t,TF
AP2/EREBP,TraesCS1D02G407100,high,t,TF
AP2/EREBP,TraesCS1D02G418900,high,t,TF
AP2/EREBP,TraesCS2A02G041500,high,t,TF
AP2/EREBP,TraesCS2A02G041600,high,t,TF
AP2/EREBP,TraesCS2A02G109800,high,t,TF
AP2/EREBP,TraesCS2A02G116900,high,t,TF
AP2/EREBP,TraesCS2A02G185600,high,t,TF
AP2/EREBP,TraesCS2A02G267600,high,t,TF
AP2/EREBP,TraesCS2A02G288000,high,t,TF
AP2/EREBP,TraesCS2A02G288700,high,t,TF
AP2/EREBP,TraesCS2A02G310700,high,t,TF
AP2/EREBP,TraesCS2A02G373700,high,t,TF
AP2/EREBP,TraesCS2A02G393500,high,t,TF
AP2/EREBP,TraesCS2A02G399500,high,t,TF
AP2/EREBP,TraesCS2A02G415100,high,t,TF
AP2/EREBP,TraesCS2A02G415200,high,t,TF
AP2/EREBP,TraesCS2A02G415300,high,t,TF
AP2/EREBP,TraesCS2A02G417100,high,t,TF
AP2/EREBP,TraesCS2A02G417200,high,t,TF
AP2/EREBP,TraesCS2A02G417300,high,t,TF
AP2/EREBP,TraesCS2A02G427700,high,t,TF
AP2/EREBP,TraesCS2A02G463400,high,t,TF
AP2/EREBP,TraesCS2A02G503100,high,t,TF
AP2/EREBP,TraesCS2A02G505600,high,t,TF
AP2/EREBP,TraesCS2A02G514200,high,t,TF
AP2/EREBP,TraesCS2A02G514300,high,t,TF
AP2/EREBP,TraesCS2A02G542700,high,t,TF
AP2/EREBP,TraesCS2B02G002700,high,t,TF
AP2/EREBP,TraesCS2B02G053900,high,t,TF
AP2/EREBP,TraesCS2B02G054000,high,t,TF
AP2/EREBP,TraesCS2B02G054100,high,t,TF
AP2/EREBP,TraesCS2B02G127800,high,t,TF
AP2/EREBP,TraesCS2B02G136100,high,t,TF
AP2/EREBP,TraesCS2B02G221700,high,t,TF
AP2/EREBP,TraesCS2B02G268100,high,t,TF
AP2/EREBP,TraesCS2B02G304800,high,t,TF
AP2/EREBP,TraesCS2B02G305500,high,t,TF
AP2/EREBP,TraesCS2B02G327700,high,t,TF
AP2/EREBP,TraesCS2B02G378100,high,t,TF
AP2/EREBP,TraesCS2B02G390800,high,t,TF
AP2/EREBP,TraesCS2B02G411500,high,t,TF
AP2/EREBP,TraesCS2B02G417500,high,t,TF
AP2/EREBP,TraesCS2B02G434100,high,t,TF
AP2/EREBP,TraesCS2B02G434200,high,t,TF
AP2/EREBP,TraesCS2B02G434300,high,t,TF
AP2/EREBP,TraesCS2B02G436100,high,t,TF
AP2/EREBP,TraesCS2B02G436200,high,t,TF
AP2/EREBP,TraesCS2B02G436300,high,t,TF
AP2/EREBP,TraesCS2B02G448100,high,t,TF
AP2/EREBP,TraesCS2B02G485200,high,t,TF
AP2/EREBP,TraesCS2B02G485400,high,t,TF
AP2/EREBP,TraesCS2B02G529200,high,t,TF
AP2/EREBP,TraesCS2B02G530800,high,t,TF
AP2/EREBP,TraesCS2B02G531100,high,t,TF
AP2/EREBP,TraesCS2B02G534000,high,t,TF
AP2/EREBP,TraesCS2B02G542300,high,t,TF
AP2/EREBP,TraesCS2B02G542400,high,t,TF
AP2/EREBP,TraesCS2B02G572500,high,t,TF
AP2/EREBP,TraesCS2D02G015200,high,t,TF
AP2/EREBP,TraesCS2D02G039800,high,t,TF
AP2/EREBP,TraesCS2D02G040100,high,t,TF
AP2/EREBP,TraesCS2D02G040200,high,t,TF
AP2/EREBP,TraesCS2D02G040300,high,t,TF
AP2/EREBP,TraesCS2D02G110000,high,t,TF
AP2/EREBP,TraesCS2D02G118200,high,t,TF
AP2/EREBP,TraesCS2D02G202100,high,t,TF
AP2/EREBP,TraesCS2D02G256600,high,t,TF
AP2/EREBP,TraesCS2D02G286300,high,t,TF
AP2/EREBP,TraesCS2D02G286900,high,t,TF
AP2/EREBP,TraesCS2D02G300700,high,t,TF
AP2/EREBP,TraesCS2D02G308900,high,t,TF
AP2/EREBP,TraesCS2D02G357600,high,t,TF
AP2/EREBP,TraesCS2D02G369900,high,t,TF
AP2/EREBP,TraesCS2D02G391400,high,t,TF
AP2/EREBP,TraesCS2D02G397000,high,t,TF
AP2/EREBP,TraesCS2D02G412200,high,t,TF
AP2/EREBP,TraesCS2D02G412300,high,t,TF
AP2/EREBP,TraesCS2D02G412400,high,t,TF
AP2/EREBP,TraesCS2D02G414300,high,t,TF
AP2/EREBP,TraesCS2D02G414500,high,t,TF
AP2/EREBP,TraesCS2D02G414600,high,t,TF
AP2/EREBP,TraesCS2D02G425700,high,t,TF
AP2/EREBP,TraesCS2D02G464400,high,t,TF
AP2/EREBP,TraesCS2D02G464600,high,t,TF
AP2/EREBP,TraesCS2D02G503100,high,t,TF
AP2/EREBP,TraesCS2D02G503900,high,t,TF
AP2/EREBP,TraesCS2D02G506500,high,t,TF
AP2/EREBP,TraesCS2D02G511600,high,t,TF
AP2/EREBP,TraesCS2D02G515800,high,t,TF
AP2/EREBP,TraesCS2D02G515900,high,t,TF
AP2/EREBP,TraesCS2D02G543900,high,t,TF
AP2/EREBP,TraesCS3A02G053900,high,t,TF
AP2/EREBP,TraesCS3A02G054000,high,t,TF
AP2/EREBP,TraesCS3A02G099200,high,t,TF
AP2/EREBP,TraesCS3A02G149000,high,t,TF
AP2/EREBP,TraesCS3A02G238300,high,t,TF
AP2/EREBP,TraesCS3A02G259900,high,t,TF
AP2/EREBP,TraesCS3A02G291400,high,t,TF
AP2/EREBP,TraesCS3A02G313100,high,t,TF
AP2/EREBP,TraesCS3A02G313900,high,t,TF
AP2/EREBP,TraesCS3A02G328000,high,t,TF
AP2/EREBP,TraesCS3A02G328100,high,t,TF
AP2/EREBP,TraesCS3A02G379900,high,t,TF
AP2/EREBP,TraesCS3A02G395500,high,t,TF
AP2/EREBP,TraesCS3A02G404400,high,t,TF
AP2/EREBP,TraesCS3B02G064900,high,t,TF
